keyID,id,creationTimestamps,dernierTimeTampsSynchronisationAvecFireBase,defaultNonSaved_Entre,its_From_CalculeParNewBenifice,laisse_Au_Gerant,typeChoisi,prixCurrency,profitMargin,suggestedUpgrade,parent_M14VentPeriod_KeyId,parent_M14VentPeriod_DebugInfos,parent_M1Produit_KeyId,parent_M1Produit_DebugInfos,parent_M8BonVent_KeyId,parent_M8BonVent_DebugInfos,parent_M2Client_KeyId,parent_M2Client_DebugInfos
-OcRlkk2Adz6i7zmbxPj,0,1761421204402,1761421207826,true,true,false,Tariff_ItsWorkInGrossist_SuperGros,880.0,0.0,,,,-OcRlkGsPGQbH1yi4nLn,Euro Netto,null,null,null,null
-OcRlr9rmIOLGb5m2oD1,0,1769687103211,1769687103211,true,true,false,Tariff_ItsWorkInGrossist_SuperGros,390.0,0.0,,,,-OcRlno6KxzGTIKXyEr_,Mergaza Hssino,null,null,null,null
-OcRm6MdCOobZXtJx2hy,0,1769687103211,1779534952435,false,true,false,Tariff_ItsWorkInGrossist_SuperGros,650.0,0.0,Historique,,,-OcRm3vwCyLnOFkt9XMh,O Simo,null,null,null,null
-OcRmIDB_5tU88UcFKFQ,0,1761421251982,1761421255700,true,true,false,Tariff_ItsWorkInGrossist_SuperGros,1008.0,0.0,,,,-OV3rmYGsyd2-YWPEyuS,Carmen Plastique,null,null,null,null
-OcRmWg-IG-Rd7xA3JNb,0,1769687103211,1769687103211,true,true,false,Tariff_ItsWorkInGrossist_SuperGros,440.0,0.0,,,,-OcRmKyqUhbWYd_SSeZN,Bolix,null,null,null,null
-OcRmZKzTN7fLK4Z587_,0,1761421273405,1779772285479,false,true,false,Tariff_ItsWorkInGrossist_SuperGros,2040.0,0.0,Historique,,,-OV3rmVjRrLMH9kBa_rk,Cajou Fruseco®,null,null,null,null
-OcRm_ANGR85zDwTrwVX,0,1769687103211,1769687103211,true,true,false,Tariff_ItsWorkInGrossist_SuperGros,1800.0,0.0,,,,-OV3rmVl89ncSOcXOC5h,Looz Fruseco®,null,null,null,null
-OcRmh_pegAechjpEc3F,0,1769687103211,1769687103211,true,true,false,Tariff_ItsWorkInGrossist_SuperGros,190.0,0.0,,,,-OaP-iiEjKMmQBX08ANL,Bodi,null,null,null,null
-OcRnwu3Opu6gPxcqmxl,0,1761421310065,1779772283904,false,true,false,Tariff_ItsWorkInGrossist_SuperGros,800.0,0.0,Historique,,,-OaGcAxhXIc4NjRjOy3K,jelllly wiwi,null,null,null,null
-OcRo3paXYN4ikBbIZ40,0,1769687103211,1769687103211,true,true,false,Tariff_ItsWorkInGrossist_SuperGros,680.0,0.0,,,,-OcRo-Uj_XyXX27qX7Vh,Montico,null,null,null,null
-OcRoNXsarI7qCQ2t2oc,0,1769687103211,1769687103211,true,true,false,Tariff_ItsWorkInGrossist_SuperGros,200.0,0.0,,,,-OcRo9RFXRf-W_sstCVv,Aluminium,null,null,null,null
-OcRobwVB3ewOdvIig8f,0,1769687103211,1769687103211,true,true,false,Tariff_ItsWorkInGrossist_SuperGros,490.0,0.0,,,,-OcRoOsWCLR1FiTblLcF,Kool + Maxon,null,null,null,null
-OcRofYBjfJoAz_u3j6x,0,1769687102862,1779707145931,false,true,false,Tariff_ItsWorkInGrossist_SuperGros,140.0,0.0,Historique,,,-OcRodrd2AHnb0sti3Lo,Spootch,null,null,null,null
-OcRoxFY8j9gCe4T7oCV,0,1769687102862,1769687102862,true,true,false,Tariff_ItsWorkInGrossist_SuperGros,540.0,0.0,,,,-OcRopYmGH7nK-s_osgS,Halkouma Kebira,null,null,null,null
-OcRp9PWq4bd6CwR0KO6,0,1769687103211,1769687103211,true,true,false,Tariff_ItsWorkInGrossist_SuperGros,440.0,0.0,,,,-OcRp4jFZrnK3fbaStVr,Kawkaw Emballet,null,null,null,null
-OcRpF5JCZVFYSnGw5yA,0,1769687103211,1769687103211,true,true,false,Tariff_ItsWorkInGrossist_SuperGros,540.0,0.0,,,,-OcRpDeXjjIIsHSSae7T,Halkouma ROUBRA,null,null,null,null
-OcRpNFjHpNMw1G_IdYP,0,1769687102862,1769687102862,true,true,false,Tariff_ItsWorkInGrossist_SuperGros,570.0,0.0,,,,-OcRpMA9HN1H1hBStYU6,Cornet Boite,null,null,null,null
-OcRpYcVwpccz0z-vlga,0,1769687102862,1776886191938,true,true,false,Tariff_ItsWorkInGrossist_SuperGros,1740.0,0.0,Historique,,,-OV3rmYa1wl1L9Um5B8I,4 Winners®,null,null,null,null
-OcRpfTfwH9OSbXiO9_6,0,1763096398689,1768552523211,true,true,false,Tariff_ItsWorkInGrossist_SuperGros,1000.0,0.0,,,,-OcRpdo1tu1CsJAVY1a7,Grand.M Kool + Maxon,null,null,null,null
-OcRplFSm5U_V1zjsAUF,0,1769687102862,1776406248581,false,true,false,Tariff_ItsWorkInGrossist_SuperGros,430.0,0.0,Historique,,,-OV3rmXB6XYw8TIjer0w,Florida,null,null,null,null
-OcRpwUY9WFtxsTjw6dQ,0,1769687102862,1777980522586,true,true,false,Tariff_ItsWorkInGrossist_SuperGros,640.0,0.0,Historique,,,-OV3rmYGsyd2-YWPEyuO,Nutis  Gm®,null,null,null,null
-OcRqF9-UUN6-I_hJa56,0,1769687103211,1777407132367,true,true,false,Tariff_ItsWorkInGrossist_SuperGros,520.0,0.0,Historique,,,-ObS_KIrws9td-lVZrK6,Sweet mint,null,null,null,null
-OcRqduYgL4ij8Hn1Nzw,0,1769687102862,1777705942414,true,true,false,Tariff_ItsWorkInGrossist_SuperGros,185.0,0.0,Historique,,,-OcRqb8Z39UPZhhepjvb,Lino,null,null,null,null
-OcRrVom8ptDldoTOicG,0,1769687102862,1776151560609,false,true,false,Tariff_ItsWorkInGrossist_SuperGros,380.0,0.0,,,,-OcQPAn87MJtUgZ5dBeT,Fakher,null,null,null,null
-OcRsDdrxI2gYG1qkz7Q,0,1767038519763,1769158634610,true,true,false,Tariff_ItsWorkInGrossist_Achat,330.0,0.0,,-OcCdqc_AdtS_95I41sl,,-OcQNmY3ydsqRJkCDh1I,Bibron,null,null,null,null
-OcRsQXu7Bd41L_9qJqH,0,1761421146338,1779517522740,true,true,false,Tariff_ItsWorkInGrossist_Achat,1660.0,0.0,Historique,-OcCdqc_AdtS_95I41sl,,-OV3rmV8ulOa1Xyhe4If,Amine®,null,null,null,null
-OcRsU5Hr-yc4_G3GDIp,0,1761421160890,1761421163622,true,true,false,Tariff_ItsWorkInGrossist_Achat,365.0,0.0,,-OcCdqc_AdtS_95I41sl,,-O_ShwoxYK7ufg0aVOLu,Gauffreto,null,null,null,null
-OcRsVlyPcQTrHtNdLNu,0,1761421167782,1761421170823,true,true,false,Tariff_ItsWorkInGrossist_Achat,685.0,0.0,,-OcCdqc_AdtS_95I41sl,,-OcQPqdjI95vSqangUKe,Mamamia 10da,null,null,null,null
-OcRsYcyFfKRkS0zGJ4l,0,1761421179494,1770111191177,true,true,false,Tariff_ItsWorkInGrossist_Achat,400.0,0.0,,-OcCdqc_AdtS_95I41sl,,-OcQQE03uSjMujIw1XUr,Mitchco 10da,null,null,null,null
-OcRs_1FZ2SfToa_0Cxm,0,1761421185208,1761421192696,true,true,false,Tariff_ItsWorkInGrossist_Achat,345.0,0.0,,-OcCdqc_AdtS_95I41sl,,-OcQQHlOkzXMkYFM-syT,Mitcheco 5da,null,null,null,null
