keyID,creationTimestamp,dernierTimeTampsSynchronisationAvecFireBase,appDesignedPourWorkingGrossisst3Ali,its_mode_affiche_que_produits_au_depot,mode_edite_dispo,credit_fait,nom,autres_Noms_SepareParComma,deviceModelNom,deviceModelId,period_Qui_Doit_Etre_Au_Entre,separeted_by_commas_keys_clients_a_cible_groupe_n1,keys_clients_a_cible_groupe_n2,keys_clients_a_cible_groupe_n3,image_detail_produit_s_affiche,presentoireEBoutiqueFilterProduitDuCatalogueAvecBsonObjectId,hideAppScreen,travailleChezGrossisst3Ali,affiche_toujoure_tariffs_tournet,its_Admin,c_Ouvert_Pour_Au_Command_Add_Period,text_Message_Warning,ne_affiche_que_fragment,itsProductionModePourCeCompt,ceComptVendeurInsertBonsAchatAuPeriodID,ceComptVendeurStartAffichePeriod,migreSonDataBaseAuStart,cConnectAuDevelopingDataBaseAuRelodApp,mainInitDataBaseProgressEtate,filter_marqueClient_Name,next_start,force_next_start_,activeDialogSearchM1Produit,active_ProduitKeyID_Au_DroopDown_PresenterEcran,active_CouleurKeyID_Extended_Image,affiche_Dialog_Fast_Affiche_Panie_App4,affiche_ProduitDataBaseEdites_ComposableViews,couleurAchateOperationIdOuvertPourCeCompt,couleurAchateOperationKeyOuvertPourCeCompt,ouvertProduitOnVentNom,current_OnVent_M14VentPeriode_KeyID,current_OnVent_M14VentPeriode_DebugInfos,onVentM8BonVentKey,onVentM8BonVentDebugInfos,onVentM1ProduitInfosKeyID,onVentM1ProduitInfosDebugName,onVentM3CouleurProduitInfosKeyID,onVentM3CouleurProduitDebugInfos,dialogAboveAll_OutlinedSearchListProduits,dialogChoisireQuantityM1ProduitInfosKeyID,dialogChoisireQuantityM1ProduitInfosDebugName,activeFocuce_TariffPrixDifineur_M1ProduitKeyID,activeFocuceTariffPrixDifineurM1ProduitDebugInfos,startTextSearchM1Produit,click_On_Marque,KeyByParent,vid,limite_couleurs_ou_leur_last_achate_est_moin_que_jour
-OqBYbSHPJS6MZJlL4jm,1776179640148,1776179640148,true,true,false,0.0,,,Redmi Note 8,RKQ1.201004.002,,""",""",""",""",""",""",true,,false,false,false,false,true,,,false,0,0,false,false,0.0,no Filter,StandartInit_Sans_RienFair,DeleteInsertAll_Active_Key,false,,,false,true,,,,,,,,,,null,null,false,null,null,null,null,,Standart,,1,30
-OqBgu5xR9YglvnMvXNl,1776182075839,1776182075839,true,true,false,0.0,,,Redmi Note 8,RKQ1.201004.002,,""",""",""",""",""",""",true,,false,false,false,false,true,,,false,0,0,false,false,0.0,no Filter,StandartInit_Sans_RienFair,DeleteInsertAll_Active_Key,false,,,false,true,,,,,,,,,,null,null,false,null,null,null,null,,Standart,,1,30
-OqCoIAgnLKXwlpsldY0,1776200790765,1776200790765,true,true,false,0.0,,,M2010J19SG,QKQ1.200830.002,,""",""",""",""",""",""",true,,false,false,false,false,true,,,false,0,0,false,false,0.0,no Filter,StandartInit_Sans_RienFair,DeleteInsertAll_Active_Key,false,,,false,true,,,,,,,,,,null,null,false,null,null,null,null,,Standart,,1,30
-OqF7piIHrrFrdtjDeeP,1776239730748,1776239730748,true,true,false,0.0,,,DT10-TAB4G,PPR1.180610.011,,""",""",""",""",""",""",true,,false,false,false,false,true,,,false,0,0,false,false,0.0,no Filter,StandartInit_Sans_RienFair,DeleteInsertAll_Active_Key,false,,,false,true,,,,,,,,,,null,null,false,null,null,null,null,,Standart,,1,30
-OqFZ2IHqEKjv2YW3cDj,1776246863058,1776246863058,true,true,false,0.0,,,Redmi Note 8,RKQ1.201004.002,,""",""",""",""",""",""",true,,false,false,false,false,true,,,false,0,0,false,false,0.0,no Filter,StandartInit_Sans_RienFair,DeleteInsertAll_Active_Key,false,,,false,true,,,,,,,,,,null,null,false,null,null,null,null,,Standart,,1,30
-OqFa0MgbL5ijx5IqDMo,1776247377583,1776247377583,true,true,false,0.0,,,Redmi Note 8,RKQ1.201004.002,,""",""",""",""",""",""",true,,false,false,false,false,true,,,false,0,0,false,false,0.0,no Filter,StandartInit_Sans_RienFair,DeleteInsertAll_Active_Key,false,,,false,true,,,,,,,,,,null,null,false,null,null,null,null,,Standart,,1,30
-OqGUW7qlwEkoLgP6OAc,1776262455092,1776262455092,true,true,false,0.0,,,M2010J19SG,QKQ1.200830.002,,""",""",""",""",""",""",true,,false,false,false,false,true,,,false,0,0,false,false,0.0,no Filter,StandartInit_Sans_RienFair,DeleteInsertAll_Active_Key,false,,,false,true,,,,,,,,,,null,null,false,null,null,null,null,,Standart,,1,30
-OqGq6Dgi-o8UUy7fVWx,1776268376338,1776268376338,true,true,false,0.0,,,DT10-TAB4G,PPR1.180610.011,,""",""",""",""",""",""",true,,false,false,false,false,true,,,false,0,0,false,false,0.0,no Filter,StandartInit_Sans_RienFair,DeleteInsertAll_Active_Key,false,,,false,true,,,,,,,,,,null,null,false,null,null,null,null,,Standart,,1,30
-OqHBh2f07GI8D0tE9T-,1776274298047,1776274298047,true,true,false,0.0,,,DT10-TAB4G,PPR1.180610.011,,""",""",""",""",""",""",true,,false,false,false,false,true,,,false,0,0,false,false,0.0,no Filter,StandartInit_Sans_RienFair,DeleteInsertAll_Active_Key,false,,,false,true,,,,,,,,,,null,null,false,null,null,null,null,,Standart,,1,30
-OqK9OkPTZ_NQsbW8U3A,1776324026213,1776324026213,true,true,false,0.0,,,DT10-TAB4G,PPR1.180610.011,,""",""",""",""",""",""",true,,false,false,false,false,true,,,false,0,0,false,false,0.0,no Filter,StandartInit_Sans_RienFair,DeleteInsertAll_Active_Key,false,,,false,true,,,,,,,,,,null,null,false,null,null,null,null,,Standart,,1,30
-OqgPlytC75fUfgEHAb_,1776714194873,1776714194873,true,true,false,0.0,,,Redmi Note 8,RKQ1.201004.002,,""",""",""",""",""",""",true,,false,false,false,false,true,,,false,0,0,false,false,0.0,no Filter,StandartInit_Sans_RienFair,DeleteInsertAll_Active_Key,false,,,false,true,,,,,,,,,,null,null,false,null,null,null,null,,Standart,,1,30
-OqjIWS6c1plyjhX55lH,1776762626232,1776762626232,true,true,false,0.0,,,DT10-TAB4G,PPR1.180610.011,,""",""",""",""",""",""",true,,false,false,false,false,true,,,false,0,0,false,false,0.0,no Filter,StandartInit_Sans_RienFair,DeleteInsertAll_Active_Key,false,,,false,true,,,,,,,,,,null,null,false,null,null,null,null,,Standart,,1,30
-Oqkd3tjMsaQfapmK1hh,1776785054087,1776785054087,true,true,false,0.0,,,DT10-TAB4G,PPR1.180610.011,,""",""",""",""",""",""",true,,false,false,false,false,true,,,false,0,0,false,false,0.0,no Filter,StandartInit_Sans_RienFair,DeleteInsertAll_Active_Key,false,,,false,true,,,,,,,,,,null,null,false,null,null,null,null,,Standart,,1,30
-OqoEI7ft4lZvmLc1-k3,1776845405272,1776845405272,true,true,false,0.0,,,DT10-TAB4G,PPR1.180610.011,,""",""",""",""",""",""",true,,false,false,false,false,true,,,false,0,0,false,false,0.0,no Filter,StandartInit_Sans_RienFair,DeleteInsertAll_Active_Key,false,,,false,true,,,,,,,,,,null,null,false,null,null,null,null,,Standart,,1,30
-OqqlmFnBIZY-Kvg251e,1776887998886,1776887998886,true,true,false,0.0,,,DT10-TAB4G,PPR1.180610.011,,""",""",""",""",""",""",true,,false,false,false,false,true,,,false,0,0,false,false,0.0,no Filter,StandartInit_Sans_RienFair,DeleteInsertAll_Active_Key,false,,,false,true,,,,,,,,,,null,null,false,null,null,null,null,,Standart,,1,30
-Oqtl5VyqTg-HRl1rnqt,1776938149951,1776938149951,true,true,false,0.0,,,Redmi Note 8,RKQ1.201004.002,,""",""",""",""",""",""",true,,false,false,false,false,true,,,false,0,0,false,false,0.0,no Filter,StandartInit_Sans_RienFair,DeleteInsertAll_Active_Key,false,,,false,true,,,,,,,,,,null,null,false,null,null,null,null,,Standart,,1,30
